linkId,text,type,answerOption,parentLinkId
1-1,您現在是否有運動？,單選,是;否,
1-2,您是否有打算在未來六個月內開始運動？（若前題回答否）,單選,是;否,
1-3,您每星期是否至少運動三天？（若1-1回答是）,單選,是;否,
1-4,您規律地在做運動已超過6個月？（若1-3回答是）,單選,是;否,
2-1,您每週平均運動幾次？,單選,0;1;2;3;4;5;6;7,
2-2,您每次運動平均多久時間？（分鐘）,數字,,
2-3,您運動的激烈程度為何？,單選,輕鬆不喘(輕);微喘流汗(中);急喘暴汗(強),
3-1,您從哪裡獲得運動相關資訊？,多選,醫師建議;親友介紹;網路;社區活動;其他,
3-2,您覺得什麼原因會影響您無法規律運動？,多選,工作忙碌;身體不適;沒有時間;缺乏動力;缺乏場所;其他,
3-3,您參與運動的主要目的為何？,單選,促進健康;減重;社交;放鬆壓力;醫療復健;其他,
3-4,您是否參加過社區的運動課程或活動？,單選,是;否,
3-5,您對“積少成多”（即每日短時間累積運動時間，如每次10分鐘）的看法是？,單選,非常認同;認同;普通;不認同;非常不認同,
3-6,您是否有興趣接受專人提供運動衛教或運動指導？,單選,是;否,
3-7,您希望運動指導以哪種方式進行？,單選,面對面指導;電話/LINE諮詢;影片教材;書面資料;不需要,
4,你對運動成效有甚麼期待？,群組,,
4-1,降低血壓,單選,是;否,4
4-2,增強肌力,單選,是;否,4
4-3,減重,單選,是;否,4
